,title,ingredients,instructions,author,date,rating,times,servings,image,category,Ing. Prices,Price,Ing. Nutr
10,Air Fryer Scrambled Eggs On The Go,"['  cooking spray', '2 large eggs, beaten', '  salt and freshly ground black pepper to taste']","['Lightly spray a ramekin dish with non-stick cooking spray. Pour in beaten eggs.', 'Set air fryer to 370 degrees F (185 degrees C) and place the ramekin into the air fryer basket.', 'Air fry for 3 minutes. Stir egg mixture and cook for 3 minutes more. Fluff with a fork and season to taste with salt and pepper. Grab and go.']",Soup Loving Nicole,"Published on November 4, 2022",4.5,"[{'Prep Time': '4 mins'}, {'Cook Time': '6 mins'}, {'Total Time': '10 mins'}]",1,https://www.allrecipes.com/thmb/DRmKCMBgZ2UpJ5SbFCDiHCehH_o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1666670216Air20Fryer20Scrambled20Eggs-690553babe2d4fca8c43b506305374d3.jpg, Air Fryer Recipes,['$0.55'],0.55,"{'calories': '144', 'protein': '12g', 'total_fat': '9g', 'carbs': '0.8g'}"
11,Air Fryer Lemon Pepper Roasted Cashews,"['1 cup raw cashews', '1 tablespoon olive oil', '½ teaspoon lemon-pepper seasoning', '½ teaspoon garlic powder', '½ teaspoon salt']","['Place raw cashews in a bowl. Add olive oil and toss to coat. Sprinkle with lemon pepper seasoning, garlic powder, and salt; toss to coat again.', 'Preheat an air fryer to 330 degrees F (165 degrees C).', 'Spread out seasoned cashews in the basket of the air fryer.', 'Cook for 3 minutes. Shake the basket and cook until golden brown, about 4 more minutes.', 'Transfer cashews to a paper towel lined plate and let cool completely. Store leftovers in an air-tight container.']",Soup Loving Nicole,"Updated on July 19, 2023",4.0,"[{'Prep Time': '3 mins'}, {'Cook Time': '7 mins'}, {'Total Time': '10 mins'}]",4,https://www.allrecipes.com/thmb/-bmFtWitGh2lD9VS1wBv2pDw2YA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8525657air-fryer-lemon-pepper-roasted-cashewsDreginek4x3-9dc9634d78744b7f8a5af6947cc10dd1.jpg, Air Fryer Recipes,"['$2.30', '$0.17', '$0.03', '$0.05']",2.55,"{'calories': '844', 'protein': '23g', 'total_fat': '70g', 'carbs': '40g'}"
12,Chocolate Angel Food Cake I,"['2 cups egg whites', '¼ teaspoon salt', '1 ¼ teaspoons cream of tartar', '1 ¼ cups white sugar', ""1 ¼ cups confectioners' sugar"", '1 ¼ cups cake flour', '¼ cup unsweetened cocoa powder', '1 ¼ teaspoons vanilla extract']","['Preheat oven to 325 degrees F (165 degrees C).', ""In a medium bowl, mix confectioners' sugar, cake flour, and cocoa. Sift together 2 times, and set aside."", 'In a clean large bowl, whip egg whites, salt, and cream of tartar with an electric mixer on high speed until very stiff. Fold in white sugar 2 tablespoons at a time while continuing to mix. Fold in flour mixture, a little at a time, until fully incorporated. Stir in vanilla. Pour into a 10 inch tube pan.', 'Bake at 325 degrees F (165 degrees C) for approximately 1 hour, or until cake springs back when touched.']",Jane Hilton,"Updated on July 14, 2022",4.7,"[{'Prep Time': '30 mins'}, {'Cook Time': ' 1 hr'}, {'Total Time': ' 1 hr 30 mins'}, {'Yield': '1 to 10 - inch tube cake'}]",14,https://www.allrecipes.com/thmb/rjNrhzhTppyl_WW1D6fw_blJ8aE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2795214-68312b1282cc49fc823a0f62662ecc24.jpg, Angel Food Cakes,"['$2.95', '$0.28', '$0.34', '$0.48', '$0.61', '$0.35', '$0.37']",5.38,"{'calories': '2435', 'protein': '75g', 'total_fat': '7g', 'carbs': '530g'}"
13,Angel Food Cake,"['1 cup cake flour', '1 ½ cups white sugar, divided', '12  egg whites', '1 ½ teaspoons vanilla extract', '1 ½ teaspoons cream of tartar', '½ teaspoon salt']","['Preheat the oven to 375 degrees F (190 degrees C). Clean and fully dry a 10-inch tube pan.', 'Sift together flour, and 3/4 cup sugar, set aside.', 'Whip egg whites, along with vanilla, cream of tartar, and salt, in a large bowl to medium stiff peaks. Gradually add remaining 3/4 cup sugar while continuing to whip to stiff peaks. When the egg white mixture has reached its maximum volume, fold in the sifted ingredients gradually, 1/3 at a time. Do not overmix. Put the batter into the tube pan.', 'Bake in the preheated oven until the cake springs back when touched, 40 to 45 minutes.', 'Balance the tube pan upside down on the top of a bottle to prevent decompression while cooling. When cool, run a knife around the edge of the pan and invert onto a plate.']",Krissyp,"Updated on October 31, 2022",4.6,"[{'Prep Time': '30 mins'}, {'Cook Time': '40 mins'}, {'Total Time': ' 1 hr 10 mins'}, {'Yield': '1 10-inch tube pan'}]",14,https://www.allrecipes.com/thmb/5mczj98ozGGMiwFq47IF4CJa_Hc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4559826-4d5db2e5066c4f84bad03db54a09c141.jpg, Angel Food Cakes,"['$0.49', '$0.41', '$2.19', '$0.45', '$0.33']",3.87,"{'calories': '1822', 'protein': '54g', 'total_fat': '3g', 'carbs': '395g'}"
14,Mock Angel Food Cake,"['4 ½ cups cake flour', '4 cups white sugar', '2 teaspoons salt', '2 cups boiling water', '16 egg whites', '2 tablespoons baking powder', '2 teaspoons cream of tartar', '2 teaspoons vanilla extract', '1 teaspoon almond extract']","['Preheat the oven to 350 degrees F (175 degrees C).', 'Sift cake flour, sugar, and salt three times then stir in boiling water. Let cool.', 'Beat egg whites, cream of tartar, baking powder, vanilla, and almond flavorings until stiff peaks form. Fold into flour mixture and pour batter into one ungreased 12x18-inch baking pan.', 'Bake at 350 degrees F (175 degrees C) for 35 minutes. Cool cake inverted in pan, laying a tea towel underneath cake to absorb steam. Frost as desired once cake is cooled.']",Melissa Busse,"Updated on July 14, 2022",4.3,"[{'Prep Time': '20 mins'}, {'Cook Time': '35 mins'}, {'Total Time': '55 mins'}, {'Yield': '1 (12x18-inch) cake'}]",10,https://www.allrecipes.com/thmb/DytXEMJd_mfj2xGTfFGKch_4nCI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/462044-29bd63a2b202470ca182f2c705e34715.jpg, Angel Food Cakes,"['$2.21', '$1.10', '$0.01', '$2.91', '$0.17', '$0.44', '$0.60', '$0.72']",8.16,"{'calories': '5422', 'protein': '119g', 'total_fat': '12g', 'carbs': '1220g'}"
15,Heavenly Raspberry Dessert,"['1 (9 inch) angel food cake', '2 (3 ounce) packages raspberry-flavored gelatin mix (such as Jell-O®)', '1 ¼ cups boiling water', '1 (15 ounce) package frozen raspberries in syrup, thawed and undrained', '1 pint heavy whipping cream']","['Butter a 9-inch tube pan. Break angel food cake into chunks; set aside.', 'Stir raspberry gelatin and boiling water together in a bowl until gelatin is dissolved; place gelatin in the refrigerator to cool slightly, about 10 minutes. Stir raspberries with syrup into gelatin.', 'Beat cream in a chilled glass or metal bowl with an electric mixer until soft peaks form; fold whipped cream into raspberry mixture.', 'Pour about 1/4 cup of raspberry mixture into prepared pan. Place 1/3 of cake chunks into pan; pour 1/3 of remaining raspberry mixture over cake. Repeat layering with remaining ingredients, ending with the raspberry mixture. Chill in refrigerator until firm, about 2 hours.', 'To remove from pan, center a serving plate over tube pan; invert.']",Jody,"Updated on February 2, 2022",4.6,"[{'Prep Time': '30 mins'}, {'Additional Time': ' 2 hrs'}, {'Total Time': ' 2 hrs 30 mins'}, {'Yield': '1 9-inch dessert cake'}]",10,https://www.allrecipes.com/thmb/dbPtumUdhY1ZRSVbEQLeihVFi8U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2366122-963c09bf51564a76962593d9eaced5e4.jpg, Angel Food Cakes,"['$0.37', '$1.70', '$3.03', '$2.57']",7.67,"{'calories': '3519', 'protein': '28g', 'total_fat': '171g', 'carbs': '507g'}"
16,Cherry Angel Food Cake,"['1 cup cake flour', '1 cup egg whites', '1 teaspoon cream of tartar', '¼ teaspoon salt', '1 ¼ cups white sugar', '¾ teaspoon vanilla extract', '¼ teaspoon almond extract', '⅓ cup maraschino cherries, drained and sliced']","['Preheat the oven to 325 degrees F (165 degrees C). Sift flour three times.', 'Beat egg whites, cream of tartar, and salt in a large glass or metal mixing bowl until foamy. Gradually add sugar, continuing to beat until stiff peaks form. Blend in vanilla and almond extract.', 'Fold sifted flour into egg white mixture until no streaks remain. Pour 1/2 of the batter into a clean, dry 10-inch tube pan, and arrange 1/2 of the cherries overtop. Repeat once more.', 'Bake in the preheated oven for 50 minutes. Cool cake in the pan, inverted onto a wire rack, empty wine bottle, or thin-necked glass bottle; this will prevent the cake from sinking.']",Traci Poole,"Updated on March 10, 2023",4.4,"[{'Prep Time': '30 mins'}, {'Cook Time': '50 mins'}, {'Additional Time': '10 mins'}, {'Total Time': ' 1 hr 30 mins'}, {'Yield': '1 10-inch cake'}]",12,https://www.allrecipes.com/thmb/GsIZhSNN7vWxwksGVRmwv-EXu30=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/575330-a2a00e3350b44d0eb0bbc8a1237d812d.jpg, Angel Food Cakes,"['$0.49', '$1.48', '$0.22', '$0.34', '$0.22', '$0.18', '$0.56']",3.49,"{'calories': '1689', 'protein': '41g', 'total_fat': '3g', 'carbs': '376g'}"
17,High-Altitude Angel Food Cake,"['1 ⅓ cups sifted cake flour', '1 ⅛ cups white sugar', '1 ½ cups egg whites', '1 ¼ teaspoons cream of tartar', '¾ teaspoon salt', '1 teaspoon vanilla extract', '½ teaspoon lemon extract']","['Preheat the oven to 330 degrees F (165 degrees C).', 'In a large glass or metal bowl, whip egg whites with cream of tartar and salt until soft peaks form. Gradually sprinkle in the sugar while continuing to whip to medium peaks. Since this is a high-altitude recipe, whip them only until they form a peak that falls over. Stir in the vanilla and lemon extracts. Use a rubber spatula to fold in flour a fourth at a time. Spoon into a clean and dry 9 inch tube pan.', 'Bake for 25 minutes in the preheated oven, then increase the temperature to 375 degrees F (190 degrees C). Continue baking for another 3 minutes, or until the cake begins to shrink down a bit. Invert pan over a wire rack to cool. When cool, run a thin spatula or knife around the outer edge, and tap out firmly.']",AMYK,"Published on June 18, 2020",4.1,"[{'Prep Time': '10 mins'}, {'Cook Time': '28 mins'}, {'Total Time': '38 mins'}, {'Yield': '8 servings'}]",8,https://www.allrecipes.com/thmb/-GOGsfKxzgI7uDlnFkzd2UHaiOs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2110991-aef63a670544465592fdd20dfcc47966.jpg, Angel Food Cakes,"['$0.65', '$0.31', '$2.21', '$0.28', '$0.30', '$0.32']",4.07,"{'calories': '1678', 'protein': '59g', 'total_fat': '4g', 'carbs': '350g'}"
18,2-Ingredient Pineapple Angel Food Cake,"['1 (16 ounce) package angel food cake mix', '1 (20 ounce) can crushed pineapple, in juice']","['Preheat the oven to 350 degrees F (175 degrees C).', 'Combine dry cake mix with crushed pineapple and juice in a large bowl. Beat on low speed for 30 seconds, then beat on medium speed for 1 minute. Pour into an ungreased 10-inch tube pan.', 'Bake in the preheated oven until deep golden brown, 40 to 45 minutes. Remove from the oven and immediately turn upside down to cool, about 2 hours.', 'Run a knife around the edges and turn cooled cake out onto a serving place. Use a serrated knife to cut into slices.']",the brownie gurl,"Published on January 27, 2020",4.3,"[{'Prep Time': '10 mins'}, {'Cook Time': '40 mins'}, {'Additional Time': ' 2 hrs'}, {'Total Time': ' 2 hrs 50 mins'}, {'Yield': '1 10-inch cake'}]",12,https://www.allrecipes.com/thmb/qqBQl2bYGbIOGTuQdbfiqhxTxpQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2-Ingredient-Pineapple-Angel-Food-Cake-lutzflcat-2000-38fee611e9344da990ad1a95e8961658.jpg, Angel Food Cakes,"['$1.94', '$1.62']",3.56,"{'calories': '2000', 'protein': '31g', 'total_fat': '1g', 'carbs': '478g'}"
19,Homemade Angel Food Cake,"['18  egg whites', '2 teaspoons cream of tartar', '1 pinch salt', '1 ½ cups white sugar', '1 cup cake flour', ""½ cup confectioners' sugar"", '1 teaspoon vanilla extract']","['Preheat oven to 350 degrees F (175 degrees C). Sift cake flour and confectioners sugar together 5 times and set aside.', 'In a large clean bowl, whip egg whites with a pinch of salt until foamy. Add cream of tartar and continue beating until soft peaks form. Gradually add sugar while beating, and continue to beat until very stiff. Add vanilla.', 'Quickly fold in flour mixture. Pour into a 10 inch tube pan.', 'Bake at 350 degrees F (175 degrees C) for 45 minutes.']",Darlene Williams,"Updated on July 14, 2022",4.6,[{'Yield': '1 to 10 - inch tube cake'}],14,https://www.allrecipes.com/thmb/pSNFBUjHok9jJ44FkkJwnW9-qHo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/602869-6e32f048aef24a8782a322f2898f3b18.jpg, Angel Food Cakes,"['$3.28', '$0.44', '$0.41', '$0.49', '$0.19', '$0.30']",5.11,"{'calories': '2147', 'protein': '73g', 'total_fat': '3g', 'carbs': '457g'}"
20,Microwave Mini Angel Food Cake,"['3 tablespoons angel food cake mix', '2 teaspoons water', '1 teaspoon vanilla extract']","['Put cake mix, water, and vanilla in a microwave-safe mug and stir until well combined.', 'Microwave on high for 1 minute.']",Marbles,"Updated on March 9, 2023",3.0,"[{'Prep Time': '4 mins'}, {'Cook Time': '1 mins'}, {'Total Time': '5 mins'}, {'Yield': '1 serving'}]",1,https://www.allrecipes.com/thmb/JG0dEXIjFb2rU6mQvqH1OCJsTi4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/283629microwave-mini-angel-food-cakenicolekrystyn-ff67f4677a18486cbbdbff01fd865d06.jpg, Angel Food Cakes,"['$0.19', '$0.30']",0.49,"{'calories': '173', 'protein': '2g', 'total_fat': '0.12g', 'carbs': '38g'}"
